,B23409,B00367,B13847,B15553,B10749,B03605,B17517,B05851,B12869,B20167,B18365,B21754,B21401,B21937,B21046,B18646,B11920,B20159,B07325,B21967
40744,15.96618,44.95318,14.68737,14.13307,32.9665,25.4179,12.12684,37.81088,14.1072,84.33099,64.27339,35.97538,75.36974,15.66411,32.54136,16.48851,27.60032,106.04898,33.05005,43.09751
40745,16.10759,44.90196,14.80977,14.30886,33.44332,25.88085,12.36618,37.81445,14.2652,82.73984,65.07767,35.94274,76.5063,15.87359,32.87157,16.6286,27.73153,107.1451,33.61876,43.57069
40746,16.14616,44.97025,14.86416,14.3323,33.394,25.92494,12.41405,37.81802,14.29906,82.34205,65.21555,35.9775,76.28578,15.89686,32.82654,16.69864,27.74504,106.04898,33.77386,43.70318
40747,16.14616,44.97025,14.86416,14.3323,33.394,25.92494,12.41405,37.81802,14.29906,82.34205,65.21555,35.9775,76.28578,15.89686,32.82654,16.69864,27.74504,106.04898,33.77386,43.70318
40748,16.14616,44.97025,14.86416,14.3323,33.394,25.92494,12.41405,37.81802,14.29906,82.34205,65.21555,35.9775,76.28578,15.89686,32.82654,16.69864,27.74504,106.04898,33.77386,43.70318
40749,16.08188,44.95318,14.75537,14.26198,33.21313,25.90289,12.33427,37.82872,14.24263,82.64039,64.66404,35.97854,75.84472,15.79212,32.61641,16.50252,27.74961,107.51047,33.63169,43.51391
40750,16.08188,45.02147,14.75537,14.21511,33.09804,26.12334,12.41405,37.83228,14.25391,82.93874,64.61808,36.01328,75.52241,15.73394,32.25617,16.37644,27.81922,106.59704,33.91604,43.91138
40751,15.81192,44.95318,14.51058,13.92213,32.50612,25.50608,12.15875,37.81645,13.99434,84.52989,63.51507,35.98063,73.87693,15.43136,31.47566,15.8441,27.76079,106.5057,33.19223,43.34356
40752,15.78621,44.98732,14.41538,13.8401,32.32526,25.63835,12.12684,37.82001,13.96048,85.12657,63.49209,35.98167,73.36802,15.39645,31.44564,15.77405,27.76645,106.14032,33.15345,43.38142
40753,15.74764,45.17513,14.36099,13.74635,32.12795,25.52813,12.11088,37.86942,13.91534,85.92214,63.49209,36.06083,72.84214,15.28007,31.3856,15.63396,27.77997,103.40004,33.1276,43.26786
40754,15.74764,45.17513,14.36099,13.74635,32.12795,25.52813,12.11088,37.86942,13.91534,85.92214,63.49209,36.06083,72.84214,15.28007,31.3856,15.63396,27.77997,103.40004,33.1276,43.26786
40755,15.74764,45.17513,14.36099,13.74635,32.12795,25.52813,12.11088,37.86942,13.91534,85.92214,63.49209,36.06083,72.84214,15.28007,31.3856,15.63396,27.77997,103.40004,33.1276,43.26786
40756,15.69622,45.20927,14.27939,13.67603,31.97997,25.30768,11.98323,37.93131,13.88148,86.02159,62.98654,36.06194,72.24842,15.23352,31.25051,15.47987,27.84831,102.0299,32.80447,43.62747
40757,15.37484,45.27756,13.80341,13.32446,31.25652,24.55815,11.69602,38.07095,13.59934,88.30887,61.5848,36.09678,70.12795,14.84948,30.40996,14.97554,27.78929,98.01082,31.83507,42.3972
40758,15.40055,45.24342,13.9122,13.37134,31.38806,24.46997,11.68006,38.21071,13.61062,88.8061,61.8146,36.09783,70.44178,14.91931,30.63511,15.01757,27.73665,97.64545,31.83507,41.9808
40759,14.7835,45.29464,13.27303,12.7268,29.97403,22.97091,10.96202,38.33092,13.03505,94.87237,58.64344,36.1326,66.59102,14.19778,29.20917,14.05096,27.48712,93.26099,29.87042,39.86094
40760,14.71923,45.14098,13.24583,12.70336,29.97403,22.99295,11.02585,38.33449,12.95605,95.27015,58.20683,36.09986,66.30264,14.17451,28.96901,13.75677,27.43913,96.64067,30.09015,39.50132
40761,14.71923,45.14098,13.24583,12.70336,29.97403,22.99295,11.02585,38.33449,12.95605,95.27015,58.20683,36.09986,66.30264,14.17451,28.96901,13.75677,27.43913,96.64067,30.09015,39.50132
40762,14.71923,45.14098,13.24583,12.70336,29.97403,22.99295,11.02585,38.33449,12.95605,95.27015,58.20683,36.09986,66.30264,14.17451,28.96901,13.75677,27.43913,96.64067,30.09015,39.50132
